,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmid,central city,city,osmname,,surface,osmwikipedia,osmlink,category,lat,lon,,,,,,,,,,,,,,,,,,,
454856917,Amiens,Nesle,Collègiale,,surface,,,,,,0,160,0,310,0,580,,,,,,,,,,,,,
454856917,Amiens,Nesle,Collègiale,,height,,,,,,6,6,8,8,11,11,,,,,,,,,,,,,
454856917,Amiens,Nesle,Collègiale,,m3,,,,,,,,,,,,,,,,,,,,,,,,
454856917,Amiens,Nesle,Collègiale,,guestimate,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193015121,Amiens,Péronne,Église Saint-Jean-Baptiste,river,1171.136007,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-Baptiste_de_P%C3%A9ronne,http://www.openstreetmap.org/way/193015121,parish,49.92889396,2.934988074,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
193015121,Amiens,Péronne,Église Saint-Jean-Baptiste,,year,,,,,,1000,1100,,,,,,,,,,,,,,,,,
193015121,Amiens,Péronne,Église Saint-Jean-Baptiste,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
193015121,Amiens,Péronne,Église Saint-Jean-Baptiste,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
193015121,Amiens,Péronne,Église Saint-Jean-Baptiste,,m3,,,,,,,,,,,,,,,,,,,,,,,,
193015121,Amiens,Péronne,Église Saint-Jean-Baptiste,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78788285,Amiens,Gournay-en-Bray,Saint-Hildevert,river,1297.856203,https://fr.wikipedia.org/wiki/Coll%C3%A9giale_Saint-Hildevert_de_Gournay-en-Bray,http://www.openstreetmap.org/way/78788285,other,49.48301054,1.728177975,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
78788285,Amiens,Gournay-en-Bray,Saint-Hildevert,,year,,,,,,1000,1100,1101,1200,1201,1300,,,,,,,,,,,,,
78788285,Amiens,Gournay-en-Bray,Saint-Hildevert,,surface,,,,,,0,530,0,1000,,300,,,,,,,,,,,,,
78788285,Amiens,Gournay-en-Bray,Saint-Hildevert,,height,,,,,,10,10,16,16,16,16,,,,,,,,,,,,,
78788285,Amiens,Gournay-en-Bray,Saint-Hildevert,,m3,,,,,,,,,,,,,,,,,,,,,,,,
78788285,Amiens,Gournay-en-Bray,Saint-Hildevert,,guestimate,,,,,,1,1,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43162909,Amiens,Roye,Église Saint-Pierre,land,1365.670185,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pierre_de_Roye,http://www.openstreetmap.org/way/43162909,parish,49.69824622,2.791294665,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
43162909,Amiens,Roye,Église Saint-Pierre,,year,,,,,,1000,1180,,,,,,,,,,,,,,,,,
43162909,Amiens,Roye,Église Saint-Pierre,,surface,,,,,,0,742,,,,,,,,,,,,,,,,,
43162909,Amiens,Roye,Église Saint-Pierre,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
43162909,Amiens,Roye,Église Saint-Pierre,,m3,,,,,,,,,,,,,,,,,,,,,,,,
43162909,Amiens,Roye,Église Saint-Pierre,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356740324,Amiens,Montdidier,Église Saint-Pierre,river,1384.367508,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pierre_de_Montdidier,http://www.openstreetmap.org/way/356740324,parish,49.64942719,2.56726589,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
356740324,Amiens,Montdidier,Église Saint-Pierre,,year,,,,,,1460,1600,,,,,,,,,,,,,,,,,
356740324,Amiens,Montdidier,Église Saint-Pierre,,surface,,,,,,0,1400,,,,,,,,,,,,,,,,,
356740324,Amiens,Montdidier,Église Saint-Pierre,,height,,,,,,17,17,,,,,,,,,,,,,,,,,
356740324,Amiens,Montdidier,Église Saint-Pierre,,m3,,,,,,,,,,,,,,,,,,,,,,,,
356740324,Amiens,Montdidier,Église Saint-Pierre,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152663704,Amiens, villers bretonneux ,Église Saint-Jean-Baptiste,land,1436.962068,https://fr.wikipedia.org/wiki/Villers-Bretonneux#.C3.89glise_Saint_Jean-Baptiste,http://www.openstreetmap.org/way/152663704,parish,49.86927543,2.515600289,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
152663704,Amiens, villers bretonneux ,Église Saint-Jean-Baptiste,,year,,,,,,1000,1200,,,,,,,,,,,,,,,,,
152663704,Amiens, villers bretonneux ,Église Saint-Jean-Baptiste,,surface,,,,,,0,393,,,,,,,,,,,,,,,,,
152663704,Amiens, villers bretonneux ,Église Saint-Jean-Baptiste,,height,,,,,,9,9,,,,,,,,,,,,,,,,,
152663704,Amiens, villers bretonneux ,Église Saint-Jean-Baptiste,,m3,,,,,,,,,,,,,,,,,,,,,,,,
152663704,Amiens, villers bretonneux ,Église Saint-Jean-Baptiste,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194814147,Amiens,Corbie,Abbatiale Saint-Pierre,river,1475.883076,https://fr.wikipedia.org/wiki/Abbatiale_Saint-Pierre_de_Corbie,http://www.openstreetmap.org/way/194814147,conventual,49.90893115,2.510179391,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
194814147,Amiens,Corbie,Abbatiale Saint-Pierre,,year,,,,,,700,1000,1052,1152,1174,,,,,,,,,,,,,,
194814147,Amiens,Corbie,Abbatiale Saint-Pierre,,surface,,,,,,420,0,800,,800,,,,,,,,,,,,,,
194814147,Amiens,Corbie,Abbatiale Saint-Pierre,,height,,,,,,9,18,18,18,18,,,,,,,,,,,,,,
194814147,Amiens,Corbie,Abbatiale Saint-Pierre,,m3,,,,,,,,,,,,,,,,,,,,,,,,
194814147,Amiens,Corbie,Abbatiale Saint-Pierre,,guestimate,,,,,,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226301677,Amiens,Bapaume,St Nicolas,land,1636.983124,https://fr.wikipedia.org/wiki/Bapaume#.C3.89glise_Saint-Nicolas,http://www.openstreetmap.org/way/226301677,parish,50.10171177,2.849598414,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
226301677,Amiens,Bapaume,St Nicolas,,year,,,,,,1050,1100,,,,,,,,,,,,,,,,,
226301677,Amiens,Bapaume,St Nicolas,,surface,,,,,,0,480,,,,,,,,,,,,,,,,,
226301677,Amiens,Bapaume,St Nicolas,,height,,,,,,10,10,,,,,,,,,,,,,,,,,
226301677,Amiens,Bapaume,St Nicolas,,m3,,,,,,,,,,,,,,,,,,,,,,,,
226301677,Amiens,Bapaume,St Nicolas,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328174875,Amiens,Saint-Gemer-de-fly,Abbaye Saint-Germer-de-Fly,land,1938.193374,fr.wikipedia.org/wiki/Abbaye_Saint-Germer-de-Fly,http://www.openstreetmap.org/way/328174875,conventual,49.44342183,1.780894622,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
328174875,Amiens,Saint-Gemer-de-fly,Abbaye Saint-Germer-de-Fly,,year,,,,,,700,850,900,1036,1100,1135,1206,,,,,,,,,,,,
328174875,Amiens,Saint-Gemer-de-fly,Abbaye Saint-Germer-de-Fly,,surface,,,,,,293,0,530,0,1000,0,1900,,,,,,,,,,,,
328174875,Amiens,Saint-Gemer-de-fly,Abbaye Saint-Germer-de-Fly,,height,,,,,,8,10,10,14,14,20,20,,,,,,,,,,,,
328174875,Amiens,Saint-Gemer-de-fly,Abbaye Saint-Germer-de-Fly,,m3,,,,,,,,,,,,,,,,,,,,,,,,
328174875,Amiens,Saint-Gemer-de-fly,Abbaye Saint-Germer-de-Fly,,guestimate,,,,,,1,1,1,1,1,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195096428,Amiens,Albert,Basilique Notre-Dame de Brebières,river,2635.016591,https://fr.wikipedia.org/wiki/Basilique_Notre-Dame_de_Brebi%C3%A8res,http://www.openstreetmap.org/way/195096428,parish,50.0041137,2.648248198,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
195096428,Amiens,Albert,Basilique Notre-Dame de Brebières,,year,,,,,,1000,1200,,,,,,,,,,,,,,,,,
195096428,Amiens,Albert,Basilique Notre-Dame de Brebières,,surface,,,,,,0,730,,,,,,,,,,,,,,,,,
195096428,Amiens,Albert,Basilique Notre-Dame de Brebières,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
195096428,Amiens,Albert,Basilique Notre-Dame de Brebières,,m3,,,,,,,,,,,,,,,,,,,,,,,,
195096428,Amiens,Albert,Basilique Notre-Dame de Brebières,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252153302,Amiens,Saint-Riquier,Abbatiale de Saint-Riquier,river,2637.353992,fr.wikipedia.org/wiki/Abbatiale_de_Saint-Riquier,http://www.openstreetmap.org/way/252153302,conventual,50.13405086,1.948456595,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
252153302,Amiens,Saint-Riquier,Abbatiale de Saint-Riquier,,year,,,,,,700,780,800,1130,1300,,,,,,,,,,,,,,
252153302,Amiens,Saint-Riquier,Abbatiale de Saint-Riquier,,surface,,,,,,256,0,390,0,730,,,,,,,,,,,,,,
252153302,Amiens,Saint-Riquier,Abbatiale de Saint-Riquier,,height,,,,,,7.2,9,9,12,12,,,,,,,,,,,,,,
252153302,Amiens,Saint-Riquier,Abbatiale de Saint-Riquier,,m3,,,,,,,,,,,,,,,,,,,,,,,,
252153302,Amiens,Saint-Riquier,Abbatiale de Saint-Riquier,,guestimate,,,,,,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124855857,Chester,Ruthin,St Peter's Parish Church,river,1007.40334,"https://en.wikipedia.org/wiki/Collegiate_and_Parochial_Church_of_St_Peter,_Ruthin",http://www.openstreetmap.org/way/124855857,other,53.11546316,-3.3108873,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
124855857,Chester,Ruthin,St Peter's Parish Church,,year,,,,,,1300,1320,1380,1400,,,,,,,,,,,,,,,
124855857,Chester,Ruthin,St Peter's Parish Church,,surface,,,,,,0,500,,500,,,,,,,,,,,,,,,
124855857,Chester,Ruthin,St Peter's Parish Church,,height,,,,,,14,14,14,14,,,,,,,,,,,,,,,
124855857,Chester,Ruthin,St Peter's Parish Church,,m3,,,,,,,,,,,,,,,,,,,,,,,,
124855857,Chester,Ruthin,St Peter's Parish Church,,guestimate,,,,,,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115532189,Chester,st Asaph,St. Asaph Cathedral,river,1395.108823,https://en.wikipedia.org/wiki/St_Asaph_Cathedral,http://www.openstreetmap.org/way/115532189,cathedral,53.25708455,-3.441950653,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
115532189,Chester,st Asaph,St. Asaph Cathedral,,year,,,,,,700,1140,1150,1285,1300,1310,1320,1335,1450,,,,,,,,,,
115532189,Chester,st Asaph,St. Asaph Cathedral,,surface,,,,,,390,0,740,0,100,,1000,,300,,,,,,,,,,
115532189,Chester,st Asaph,St. Asaph Cathedral,,height,,,,,,9,12,12,17,17,17,17,17,17,,,,,,,,,,
115532189,Chester,st Asaph,St. Asaph Cathedral,,m3,,,,,,,,,,,,,,,,,,,,,,,,
115532189,Chester,st Asaph,St. Asaph Cathedral,,guestimate,,,,,,1,1,1,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127212775,Chester,Oswestry,Oswestry St Oswald Parish Church,land,1442.170899,http://www.visitoruk.com/Oswestry/st-oswalds-church-C567-AT6245.html,http://www.openstreetmap.org/way/127212775,parish,52.8570891,-3.057903544,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
127212775,Chester,Oswestry,Oswestry St Oswald Parish Church,,year,,,,,,1000,1050,1150,1250,,,,,,,,,,,,,,,
127212775,Chester,Oswestry,Oswestry St Oswald Parish Church,,surface,,,,,,0,740,0,1400,,,,,,,,,,,,,,,
127212775,Chester,Oswestry,Oswestry St Oswald Parish Church,,height,,,,,,12,12,17,17,,,,,,,,,,,,,,,
127212775,Chester,Oswestry,Oswestry St Oswald Parish Church,,m3,,,,,,,,,,,,,,,,,,,,,,,,
127212775,Chester,Oswestry,Oswestry St Oswald Parish Church,,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139892873,Chester,Llantysilio,Valle Crucis Abbey,river,2729.811216,NA,http://www.openstreetmap.org/way/139892873,conventual,52.98878209,-3.186702129,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
139892873,Chester,Llantysilio,Valle Crucis Abbey,,year,,,,,,1201,1236,,,,,,,,,,,,,,,,,
139892873,Chester,Llantysilio,Valle Crucis Abbey,,surface,,,,,,0,1500,,,,,,,,,,,,,,,,,
139892873,Chester,Llantysilio,Valle Crucis Abbey,,height,,,,,,17,17,,,,,,,,,,,,,,,,,
139892873,Chester,Llantysilio,Valle Crucis Abbey,,m3,,,,,,,,,,,,,,,,,,,,,,,,
139892873,Chester,Llantysilio,Valle Crucis Abbey,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60299707,Chester,Holywell,Basingwerk Abbey,sea,11596.7013,https://en.wikipedia.org/wiki/Basingwerk_Abbey,http://www.openstreetmap.org/way/60299707,conventual,53.28796556,-3.207505866,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
60299707,Chester,Holywell,Basingwerk Abbey,,year,,,,,,1132,1150,,,,,,,,,,,,,,,,,
60299707,Chester,Holywell,Basingwerk Abbey,,surface,,,,,,0,1100,,,,,,,,,,,,,,,,,
60299707,Chester,Holywell,Basingwerk Abbey,,height,,,,,,15,15,,,,,,,,,,,,,,,,,
60299707,Chester,Holywell,Basingwerk Abbey,,m3,,,,,,,,,,,,,,,,,,,,,,,,
60299707,Chester,Holywell,Basingwerk Abbey,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70877442,Dijon,Citeaux,Abbatiale Notre-Dame de Cîteaux,river,1118.865778,https://fr.wikipedia.org/wiki/Abbaye_de_C%C3%AEteaux,http://www.openstreetmap.org/way/70877442,conventual,47.12842676,5.09296784,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
70877442,Dijon,Citeaux,Abbatiale Notre-Dame de Cîteaux,,year,,,,,,1100,1106,1140,1150,1180,1193,,,,,,,,,,,,,
70877442,Dijon,Citeaux,Abbatiale Notre-Dame de Cîteaux,,surface,,,,,,0,300,0,900,0,2400,,,,,,,,,,,,,
70877442,Dijon,Citeaux,Abbatiale Notre-Dame de Cîteaux,,height,,,,,,8,8,14,14,22,22,,,,,,,,,,,,,
70877442,Dijon,Citeaux,Abbatiale Notre-Dame de Cîteaux,,m3,,,,,,,,,,,,,,,,,,,,,,,,
70877442,Dijon,Citeaux,Abbatiale Notre-Dame de Cîteaux,,guestimate,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129011177,Dijon,Arnay-le-Duc,Église Saint-Laurent,land,1166.921387,fr.wikipedia.org/wiki/Église_Saint-Laurent_d'Arnay-le-Duc,http://www.openstreetmap.org/way/129011177,parish,47.13141664,4.485817304,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
129011177,Dijon,Arnay-le-Duc,Église Saint-Laurent,,year,,,,,,1092,1120,1288,1320,,,,,,,,,,,,,,,
129011177,Dijon,Arnay-le-Duc,Église Saint-Laurent,,surface,,,,,,0,640,0,1200,,,,,,,,,,,,,,,
129011177,Dijon,Arnay-le-Duc,Église Saint-Laurent,,height,,,,,,11,11,16,16,,,,,,,,,,,,,,,
129011177,Dijon,Arnay-le-Duc,Église Saint-Laurent,,m3,,,,,,,,,,,,,,,,,,,,,,,,
129011177,Dijon,Arnay-le-Duc,Église Saint-Laurent,,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164293089,Dijon,saint seine l'abbaye,Abbaye de Saint-Seine,river,1261.1845,https://fr.wikipedia.org/wiki/Abbaye_de_Saint-Seine,http://www.openstreetmap.org/way/164293089,conventual,47.4399291,4.789769768,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
164293089,Dijon,saint seine l'abbaye,Abbaye de Saint-Seine,,year,,,,,,1225,1255,1300,1500,,,,,,,,,,,,,,,
164293089,Dijon,saint seine l'abbaye,Abbaye de Saint-Seine,,surface,,,,,,0,690,0,1300,,,,,,,,,,,,,,,
164293089,Dijon,saint seine l'abbaye,Abbaye de Saint-Seine,,height,,,,,,12,12,16,16,,,,,,,,,,,,,,,
164293089,Dijon,saint seine l'abbaye,Abbaye de Saint-Seine,,m3,,,,,,,,,,,,,,,,,,,,,,,,
164293089,Dijon,saint seine l'abbaye,Abbaye de Saint-Seine,,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59598411,Dijon,Vitreux,Abbatiale Notre-Dame d'Acey,river,1326.749291,https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_d'Acey,http://www.openstreetmap.org/way/59598411,conventual,47.26188356,5.657297052,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
59598411,Dijon,Vitreux,Abbatiale Notre-Dame d'Acey,,year,,,,,,1136,1200,,,,,,,,,,,,,,,,,
59598411,Dijon,Vitreux,Abbatiale Notre-Dame d'Acey,,surface,,,,,,0,1300,,,,,,,,,,,,,,,,,
59598411,Dijon,Vitreux,Abbatiale Notre-Dame d'Acey,,height,,,,,,16,16,,,,,,,,,,,,,,,,,
59598411,Dijon,Vitreux,Abbatiale Notre-Dame d'Acey,,m3,,,,,,,,,,,,,,,,,,,,,,,,
59598411,Dijon,Vitreux,Abbatiale Notre-Dame d'Acey,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167116576,Dijon,Curtil-Vergy,Abbaye de St Vivant,land,1555.977797,https://fr.wikipedia.org/wiki/Abbaye_Saint-Vivant_de_Vergy,http://www.openstreetmap.org/way/167116576,conventual,47.17201111,4.886554485,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
167116576,Dijon,Curtil-Vergy,Abbaye de St Vivant,,year,,,,,,890,950,,,,,,,,,,,,,,,,,
167116576,Dijon,Curtil-Vergy,Abbaye de St Vivant,,surface,,,,,,0,340,,,,,,,,,,,,,,,,,
167116576,Dijon,Curtil-Vergy,Abbaye de St Vivant,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
167116576,Dijon,Curtil-Vergy,Abbaye de St Vivant,,m3,,,,,,,,,,,,,,,,,,,,,,,,
167116576,Dijon,Curtil-Vergy,Abbaye de St Vivant,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53177291,Dijon,Fontenay,Église abbatiale de l'Abbaye de Fontenay,land,1573.514884,https://fr.wikipedia.org/wiki/Abbaye_de_Fontenay,http://www.openstreetmap.org/way/53177291,conventual,47.64034779,4.389140713,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
53177291,Dijon,Fontenay,Église abbatiale de l'Abbaye de Fontenay,,year,,,,,,1130,1147,,,,,,,,,,,,,,,,,
53177291,Dijon,Fontenay,Église abbatiale de l'Abbaye de Fontenay,,surface,,,,,,0,1600,,,,,,,,,,,,,,,,,
53177291,Dijon,Fontenay,Église abbatiale de l'Abbaye de Fontenay,,height,,,,,,18,18,,,,,,,,,,,,,,,,,
