osmid	city	osmname	surface	osmwikipedia	osmlink	category	mendicants	lat	lon																				
28700959	Luzern	Pfarrkirche St. Barbara	surface							0	480	0	900																
28700959	Luzern	Pfarrkirche St. Barbara	height							10	10	15	15																
28700959	Luzern	Pfarrkirche St. Barbara	m3																										
28700959	Luzern	Pfarrkirche St. Barbara	guestimate							1	1	1	1																
																													
84982876	Luzern	Franziskanerkirche	1568.777086	de.wikipedia.org/wiki/Franziskanerkirche_(Luzern)	http://www.openstreetmap.org/way/84982876	conventual	1	47.04968715	8.303491005	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
84982876	Luzern	Franziskanerkirche	year							1269	1300																		
84982876	Luzern	Franziskanerkirche	surface							0	1400																		
84982876	Luzern	Franziskanerkirche	height							18	18																		
84982876	Luzern	Franziskanerkirche	m3																										
84982876	Luzern	Franziskanerkirche	guestimate							1	1																		
																													
134989570	Luzern	St. Leodegar im Hof (Hofkirche)	2005.978425	de.wikipedia.org/wiki/St._Leodegar_im_Hof	http://www.openstreetmap.org/way/134989570	convent	0	47.05560876	8.314104399	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
134989570	Luzern	St. Leodegar im Hof (Hofkirche)	year							735	750	1100	1200	1300	1500														
134989570	Luzern	St. Leodegar im Hof (Hofkirche)	surface							0	530	0	1000		500														
134989570	Luzern	St. Leodegar im Hof (Hofkirche)	height							10	10	20	20	20	20														
134989570	Luzern	St. Leodegar im Hof (Hofkirche)	m3																										
134989570	Luzern	St. Leodegar im Hof (Hofkirche)	guestimate							1	1	1	1	1	1														
																													
105197796	Montagnana	Chiesa arcipretale di San Fidenzio	1041.794403	http://www.parrocchiasanfidenzio.191.it/chiesa.htm	http://www.openstreetmap.org/way/105197796	parish	0	45.21738131	11.51642649	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
105197796	Montagnana	Chiesa arcipretale di San Fidenzio	year							950	970	1235	1245																
105197796	Montagnana	Chiesa arcipretale di San Fidenzio	surface							0	770	0	900																
105197796	Montagnana	Chiesa arcipretale di San Fidenzio	height							15	15	16	16																
105197796	Montagnana	Chiesa arcipretale di San Fidenzio	m3																										
105197796	Montagnana	Chiesa arcipretale di San Fidenzio	guestimate							1	1	1	1																
																													
158946411	Montagnana	Duomo di Santa Maria Assunta	1694.916218	it.wikipedia.org/wiki/Duomo_di_Montagnana	http://www.openstreetmap.org/way/158946411	cathedral	0	45.23297821	11.46783625	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
158946411	Montagnana	Duomo di Santa Maria Assunta	year							1000	1100	1431	1502																
158946411	Montagnana	Duomo di Santa Maria Assunta	surface							0	1430	0	1700																
158946411	Montagnana	Duomo di Santa Maria Assunta	height							20	20	22	22																
158946411	Montagnana	Duomo di Santa Maria Assunta	m3																										
158946411	Montagnana	Duomo di Santa Maria Assunta	guestimate							1	1	1	1																
																													
227397413	Montepulciano	Chiesa di Sant'Agostino	1228.92579	it.wikipedia.org/wiki/Chiesa_di_Sant'Agostino_(Montepulciano)	http://www.openstreetmap.org/way/227397413	parish	0	43.09584783	11.78350859	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
227397413	Montepulciano	Chiesa di Sant'Agostino	year							1264	1285	1400	1500																
227397413	Montepulciano	Chiesa di Sant'Agostino	surface							0	1000	0	1200																
227397413	Montepulciano	Chiesa di Sant'Agostino	height							17	17	19	19																
227397413	Montepulciano	Chiesa di Sant'Agostino	m3																										
227397413	Montepulciano	Chiesa di Sant'Agostino	guestimate							1	1	1	1																
																													
176950847	Montepulciano	chiesa di Santa Maria dei Servi	1407.215071	https://it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_dei_Servi_(Montepulciano)	http://www.openstreetmap.org/way/176950847	parish	0	43.08995198	11.77918571	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
176950847	Montepulciano	chiesa di Santa Maria dei Servi	year							1100	1300																		
176950847	Montepulciano	chiesa di Santa Maria dei Servi	surface							0	1200																		
176950847	Montepulciano	chiesa di Santa Maria dei Servi	height							19	19																		
176950847	Montepulciano	chiesa di Santa Maria dei Servi	m3																										
176950847	Montepulciano	chiesa di Santa Maria dei Servi	guestimate							1	1																		
																													
100984965	Montepulciano	Chiesa di San Biagio	1478.486005	it.wikipedia.org/wiki/Chiesa_di_San_Biagio_(Montepulciano)	http://www.openstreetmap.org/way/100984965	parish	0	43.09075742	11.77468543	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
100984965	Montepulciano	Chiesa di San Biagio	year							600	800	1519	1545																
100984965	Montepulciano	Chiesa di San Biagio	surface							0	1300	0	1500																
100984965	Montepulciano	Chiesa di San Biagio	height							19	19	20	20																
100984965	Montepulciano	Chiesa di San Biagio	m3																										
100984965	Montepulciano	Chiesa di San Biagio	guestimate							1	1	1	1																
																													
63572791	Montepulciano	Cattedrale di Santa Maria Assunta	1644.626758	it.wikipedia.org/wiki/Duomo_di_Montepulciano	http://www.openstreetmap.org/way/63572791	cathedral	0	43.09233763	11.78077277	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
63572791	Montepulciano	Cattedrale di Santa Maria Assunta	year							980	1020	1580	1650																
63572791	Montepulciano	Cattedrale di Santa Maria Assunta	surface							0	1400	0	1700																
63572791	Montepulciano	Cattedrale di Santa Maria Assunta	height							20	20	22	22																
63572791	Montepulciano	Cattedrale di Santa Maria Assunta	m3																										
63572791	Montepulciano	Cattedrale di Santa Maria Assunta	guestimate							1	1	1	1																
																													
67491610	Newark	Church of St Mary Magdalene	1869.140621	"https://en.wikipedia.org/wiki/Church_of_St_Mary_Magdalene,_Newark-on-Trent"	http://www.openstreetmap.org/way/67491610	parish	0	53.07662142	-0.808123746	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
67491610	Newark	Church of St Mary Magdalene	year							700	900	1100	1200	1350	1360	1384	1389	1480	1489										
67491610	Newark	Church of St Mary Magdalene	surface							0	530	0	700		100		100		100										
67491610	Newark	Church of St Mary Magdalene	height							10	10	14	14	14	14	14	14	14	14										
67491610	Newark	Church of St Mary Magdalene	m3																										
67491610	Newark	Church of St Mary Magdalene	guestimate							1	1	1	1	1	1	1	1	1	1										
																													
24752350	Oldenburg	Lambertikirche	1361.104182	de.wikipedia.org/wiki/Lambertikirche_(Oldenburg)	http://www.openstreetmap.org/way/24752350	parish	0	53.13858508	8.214581161	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
24752350	Oldenburg	Lambertikirche	year							1180	1220	1400	1440																
24752350	Oldenburg	Lambertikirche	surface							0	1000		400																
24752350	Oldenburg	Lambertikirche	height							17	17	17	17																
24752350	Oldenburg	Lambertikirche	m3																										
24752350	Oldenburg	Lambertikirche	guestimate							1	1	1	1																
																													
294085338	Ortona a Mare	San Tommaso Apostolo	1365.548639	it.wikipedia.org/wiki/Basilica_di_San_Tommaso_Apostolo	http://www.openstreetmap.org/way/294085338	cathedral	0	42.35725209	14.40446789	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
294085338	Ortona a Mare	San Tommaso Apostolo	year							700	900	1100	1127																
294085338	Ortona a Mare	San Tommaso Apostolo	surface							0	1020	0	1190																
294085338	Ortona a Mare	San Tommaso Apostolo	height							17	17	19	19																
294085338	Ortona a Mare	San Tommaso Apostolo	m3																										
294085338	Ortona a Mare	San Tommaso Apostolo	guestimate							1	1	1	1																
																													
144658381	Osimo	Basilica San Giuseppe da Copertino	1154.869109	"https://en.wikipedia.org/wiki/San_Giuseppe_da_Copertino,_Osimo"	http://www.openstreetmap.org/way/144658381	conventual	1	43.48650972	13.48350875	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
144658381	Osimo	Basilica San Giuseppe da Copertino	year							1220	1240																		
144658381	Osimo	Basilica San Giuseppe da Copertino	surface							0	1200																		
144658381	Osimo	Basilica San Giuseppe da Copertino	height							19	19																		
144658381	Osimo	Basilica San Giuseppe da Copertino	m3																										
144658381	Osimo	Basilica San Giuseppe da Copertino	guestimate							1	1																		
																													
595945173	Osimo	Concattedrale di San Leopardo	1380.478442	it.wikipedia.org/wiki/Concattedrale_di_San_Leopardo	http://www.openstreetmap.org/way/595945173	cathedral	0	43.48636582	13.48042466	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
595945173	Osimo	Concattedrale di San Leopardo	year							600	800	1120	1220	1280	1320														
595945173	Osimo	Concattedrale di San Leopardo	surface							0	860	0	1000		400														
595945173	Osimo	Concattedrale di San Leopardo	height							16	16	20	20	20	20														
595945173	Osimo	Concattedrale di San Leopardo	m3																										
595945173	Osimo	Concattedrale di San Leopardo	guestimate							1	1	1	1	1	1														
																													
58577964	"s Gravenhage (Den Haag, 's Gravenhage)"	Oude Kerk	1001.872428	nl.wikipedia.org/wiki/Oude_Kerk_(Scheveningen)	http://www.openstreetmap.org/way/58577964	parish	0	52.10678994	4.2731568	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
58577964	"s Gravenhage (Den Haag, 's Gravenhage)"	Oude Kerk	year							1440	1460																		
58577964	"s Gravenhage (Den Haag, 's Gravenhage)"	Oude Kerk	surface							0	1000																		
58577964	"s Gravenhage (Den Haag, 's Gravenhage)"	Oude Kerk	height							14	14																		
58577964	"s Gravenhage (Den Haag, 's Gravenhage)"	Oude Kerk	m3																										
58577964	"s Gravenhage (Den Haag, 's Gravenhage)"	Oude Kerk	guestimate							1	1																		
																													
139240553	"s Gravenhage (Den Haag, 's Gravenhage)"	Kloosterkerk	1614.164019	nl.wikipedia.org/wiki/Kloosterkerk_(Den_Haag)	http://www.openstreetmap.org/way/139240553	conventual	1	52.0819646	4.30958705	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
139240553	"s Gravenhage (Den Haag, 's Gravenhage)"	Kloosterkerk	year							1397	1403	1420	1424																
139240553	"s Gravenhage (Den Haag, 's Gravenhage)"	Kloosterkerk	surface							0	850	0	1600																
139240553	"s Gravenhage (Den Haag, 's Gravenhage)"	Kloosterkerk	height							13	13	18	18																
139240553	"s Gravenhage (Den Haag, 's Gravenhage)"	Kloosterkerk	m3																										
139240553	"s Gravenhage (Den Haag, 's Gravenhage)"	Kloosterkerk	guestimate							1	1	1	1																
																													
58617235	"s Gravenhage (Den Haag, 's Gravenhage)"	Grote Kerk	3356.061408	nl.wikipedia.org/wiki/Grote_of_Sint-Jacobskerk_(Den_Haag)	http://www.openstreetmap.org/way/58617235	parish	0	52.07740012	4.307160599	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
58617235	"s Gravenhage (Den Haag, 's Gravenhage)"	Grote Kerk	year							1220	1240	1320	1350	1420	1424														
58617235	"s Gravenhage (Den Haag, 's Gravenhage)"	Grote Kerk	surface							0	500	0	2500		900														
